Date,Close,Volume,Open,High,Low
05/26/2026,$308.33,48000490,$309.56,$311.82,$307.67
05/22/2026,$308.82,43670220,$306.12,$311.40,$305.84
05/21/2026,$304.99,42965130,$301.055,$305.54,$300.40
05/20/2026,$302.25,38229840,$298.18,$302.80,$298.08
05/19/2026,$298.97,42243560,$296.97,$300.51,$296.35
05/18/2026,$297.84,34482960,$300.24,$300.66,$294.91
05/15/2026,$300.23,54862840,$297.90,$303.20,$296.52
05/14/2026,$298.21,35324920,$299.82,$300.45,$295.38
05/13/2026,$298.87,52684260,$293.50,$300.92,$293.50
05/12/2026,$294.80,45748130,$292.56,$295.27,$292.56
05/11/2026,$292.68,42247290,$291.979,$293.88,$290.23
05/08/2026,$293.32,52692760,$290.01,$294.76,$290.00
05/07/2026,$287.44,45224300,$289.27,$292.13,$285.78
05/06/2026,$287.51,58336070,$281.915,$288.03,$281.07
05/05/2026,$284.18,49311710,$276.925,$284.57,$276.501
05/04/2026,$276.83,46668400,$279.655,$280.63,$274.8601
05/01/2026,$280.14,79915440,$278.855,$287.22,$278.37
04/30/2026,$271.35,91848230,$270.50,$276.00,$268.14
04/29/2026,$270.17,30047870,$267.55,$271.04,$267.04
04/28/2026,$270.71,40018940,$272.335,$273.23,$268.66
04/27/2026,$267.61,41466760,$266.09,$268.36,$265.07
